,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,3,Spa,Italian Restaurant,Pizza Place,Greek Restaurant,American Restaurant,Bar,Bagel Shop,Chinese Restaurant,Café,Playground
1,Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,3,Chinese Restaurant,Italian Restaurant,Flower Shop,Donut Shop,Ice Cream Shop,Sushi Restaurant,Shabu-Shabu Restaurant,Supermarket,Spa,Smoke Shop
2,Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,11,Bank,Bakery,Pizza Place,Mexican Restaurant,Latin American Restaurant,Fried Chicken Joint,Pharmacy,Mobile Phone Shop,Gym,Grocery Store
3,Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,3,Bar,Coffee Shop,Pizza Place,Cocktail Bar,Grocery Store,Mexican Restaurant,Deli / Bodega,French Restaurant,Yoga Studio,Record Shop
4,Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,11,Chinese Restaurant,Lounge,Pizza Place,Bakery,Italian Restaurant,Diner,Bus Station,Pharmacy,Donut Shop,Furniture / Home Store
5,Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,3,Eastern European Restaurant,Russian Restaurant,Restaurant,Pharmacy,Mobile Phone Shop,Bank,Beach,Gourmet Shop,Sushi Restaurant,Supplement Shop
6,Brooklyn,Sheepshead Bay,40.58689012678384,-73.94318640482979,3,Dessert Shop,Turkish Restaurant,Pizza Place,Buffet,Café,Sandwich Place,Russian Restaurant,Restaurant,Yoga Studio,Beer Garden
7,Brooklyn,Manhattan Terrace,40.61443251335098,-73.95743840559939,11,Pizza Place,Donut Shop,Ice Cream Shop,Grocery Store,Coffee Shop,Convenience Store,Organic Grocery,Steakhouse,Bank,Bakery
8,Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,11,Coffee Shop,Mexican Restaurant,Deli / Bodega,Caribbean Restaurant,Bank,Juice Bar,Pharmacy,Lounge,Massage Studio,Bagel Shop
9,Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,11,Pizza Place,Museum,Café,Coffee Shop,Playground,Bus Station,Supermarket,Candy Store,Liquor Store,Salon / Barbershop
10,Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,11,Chinese Restaurant,Pharmacy,Supermarket,Park,Fast Food Restaurant,Liquor Store,Caribbean Restaurant,Department Store,Wine Shop,Fish Market
11,Brooklyn,Kensington,40.642381958003526,-73.98042110559474,3,Thai Restaurant,Grocery Store,Pizza Place,Ice Cream Shop,Nail Salon,Furniture / Home Store,Liquor Store,Supermarket,Spa,Burger Joint
12,Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,3,Diner,Deli / Bodega,Grocery Store,Park,Plaza,Sushi Restaurant,Beer Store,Wine Shop,Bookstore,Bar
13,Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269,3,Bar,Mexican Restaurant,Cocktail Bar,Thai Restaurant,Coffee Shop,Bakery,New American Restaurant,Wine Shop,Wine Bar,Pizza Place
14,Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,11,Chinese Restaurant,Fried Chicken Joint,Spanish Restaurant,Trail,Pool,Pizza Place,Pharmacy,Performing Arts Venue,Park,Farmers Market
15,Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,3,Pizza Place,Bagel Shop,Coffee Shop,Yoga Studio,Middle Eastern Restaurant,Taco Place,Liquor Store,Steakhouse,Lounge,Breakfast Spot
16,Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,3,Deli / Bodega,Bar,Mexican Restaurant,Coffee Shop,Discount Store,Thrift / Vintage Store,Pizza Place,Fast Food Restaurant,Taco Place,Bakery
17,Brooklyn,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,3,Coffee Shop,Café,Pizza Place,Deli / Bodega,Bar,Gourmet Shop,Thrift / Vintage Store,Juice Bar,Community Center,Basketball Court
18,Brooklyn,Brooklyn Heights,40.695863722724084,-73.99378225496424,3,Deli / Bodega,Yoga Studio,Cosmetics Shop,Pizza Place,Coffee Shop,Italian Restaurant,Gym,Park,Pharmacy,Bakery
19,Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463,3,Playground,Pizza Place,Cocktail Bar,Coffee Shop,Bar,Italian Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Bakery,Deli / Bodega
20,Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,3,Italian Restaurant,Coffee Shop,Bakery,Pizza Place,Cocktail Bar,Wine Shop,Bar,Spa,Gourmet Shop,French Restaurant
21,Brooklyn,Red Hook,40.676253230250886,-74.0127589747356,3,Art Gallery,Seafood Restaurant,Bar,Park,Flower Shop,Bagel Shop,Farm,Brewery,Ice Cream Shop,Pizza Place
22,Brooklyn,Gowanus,40.673931143187154,-73.99444087145339,3,Italian Restaurant,Pizza Place,Bar,Furniture / Home Store,Coffee Shop,Music Venue,Playground,Art Gallery,Deli / Bodega,Chinese Restaurant
23,Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,3,Italian Restaurant,Wine Shop,Flower Shop,Yoga Studio,Cocktail Bar,Grocery Store,French Restaurant,Opera House,Pizza Place,Coffee Shop
24,Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,3,Coffee Shop,Burger Joint,Bagel Shop,Pizza Place,Italian Restaurant,Pub,Mexican Restaurant,Spa,Bakery,Bookstore
25,Brooklyn,Cypress Hills,40.68239101144211,-73.87661596457296,11,Fast Food Restaurant,Latin American Restaurant,Ice Cream Shop,Fried Chicken Joint,Pizza Place,Spanish Restaurant,Mexican Restaurant,Metro Station,Gas Station,Caribbean Restaurant
26,Brooklyn,East New York,40.669925700847045,-73.88069863917366,11,Spanish Restaurant,Deli / Bodega,Event Service,Plaza,Pizza Place,Home Service,Fried Chicken Joint,Asian Restaurant,Gym,Salon / Barbershop
27,Brooklyn,Starrett City,40.64758905230874,-73.87936970045875,11,Bus Station,Donut Shop,Moving Target,Gym Pool,Shopping Mall,Pharmacy,Bus Stop,Caribbean Restaurant,Pizza Place,American Restaurant
28,Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,14,Deli / Bodega,Asian Restaurant,Caribbean Restaurant,Thai Restaurant,Chinese Restaurant,Gym,Discount Store,Factory,Food Court,Food & Drink Shop
29,Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,11,Pharmacy,Fried Chicken Joint,Fast Food Restaurant,Caribbean Restaurant,Deli / Bodega,Bus Station,Lounge,Bar,Paper / Office Supplies Store,Park
30,Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,10,Pool,Locksmith,Women's Store,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
31,Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,11,Bus Stop,Café,Ice Cream Shop,Sandwich Place,Playground,Pizza Place,Beach,Falafel Restaurant,Farm,Farmers Market
32,Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,3,Monument / Landmark,Baseball Stadium,Brewery,Theme Park Ride / Attraction,Cosmetics Shop,Pharmacy,Caribbean Restaurant,Farmers Market,Skating Rink,Music Venue
33,Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,11,Pizza Place,Pharmacy,Chinese Restaurant,Donut Shop,Italian Restaurant,Bubble Tea Shop,Peruvian Restaurant,Gas Station,Fast Food Restaurant,Sports Bar
34,Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,11,Bank,Pizza Place,Deli / Bodega,Fast Food Restaurant,Pharmacy,Hotel,Coffee Shop,Café,Men's Store,Farmers Market
35,Brooklyn,Dyker Heights,40.619219457722636,-74.01931375636022,3,Grocery Store,Dance Studio,Burger Joint,Golf Course,Playground,Bagel Shop,Field,Factory,Falafel Restaurant,Farm
36,Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196,3,Bar,Pizza Place,Deli / Bodega,Harbor / Marina,Martial Arts School,Gas Station,Boat or Ferry,Grocery Store,Baseball Field,Seafood Restaurant
37,Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,11,Deli / Bodega,Pharmacy,Chinese Restaurant,Basketball Court,Baseball Field,Gym,Coffee Shop,Athletics & Sports,Pizza Place,Soccer Field
38,Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,3,Pizza Place,Italian Restaurant,Thai Restaurant,Mexican Restaurant,Wine Shop,Caribbean Restaurant,Restaurant,Diner,Yoga Studio,Japanese Restaurant
39,Brooklyn,Sea Gate,40.57637537890224,-74.0078731120024,3,Bus Station,Home Service,Business Service,Beach,Sports Club,Spa,American Restaurant,Food & Drink Shop,Food,Flower Shop
40,Brooklyn,Downtown,40.69084402109802,-73.98346337431099,3,Coffee Shop,Burger Joint,Pizza Place,Sandwich Place,Chinese Restaurant,Arts & Crafts Store,Bakery,Middle Eastern Restaurant,Bar,Juice Bar
41,Brooklyn,Boerum Hill,40.685682912091444,-73.98374824115798,3,Dance Studio,Coffee Shop,Bar,French Restaurant,Furniture / Home Store,Bakery,Sandwich Place,Arts & Crafts Store,Yoga Studio,Cocktail Bar
42,Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,11,Pizza Place,Café,Caribbean Restaurant,Bakery,Indian Restaurant,Wine Shop,Deli / Bodega,Sushi Restaurant,Supermarket,Coffee Shop
